[2025-06-29 16:16:16] [Device 1] Communication Enabled
[2025-06-29 16:16:17] [Device 1 CH1] V=13.336V I=4.105A
[2025-06-29 16:16:17] [Device 1 CH2] V=24.886V I=0.628A
[2025-06-29 16:16:17] [Device 1 CH3] V=24.637V I=2.806A
[2025-06-29 16:16:18] [Device 1 CH1] V=23.585V I=2.273A
[2025-06-29 16:16:18] [Device 1 CH2] V=26.545V I=3.529A
[2025-06-29 16:16:18] [Device 1 CH3] V=15.444V I=1.363A
[2025-06-29 16:16:19] [Device 1 CH1] V=2.493V I=3.152A
[2025-06-29 16:16:19] [Device 1 CH2] V=14.754V I=3.083A
[2025-06-29 16:16:19] [Device 1 CH3] V=17.655V I=0.477A
[2025-06-29 16:16:20] [Device 1 CH1] V=18.696V I=3.150A
[2025-06-29 16:16:20] [Device 1 CH2] V=18.241V I=4.505A
[2025-06-29 16:16:20] [Device 1 CH3] V=7.314V I=2.108A
[2025-06-29 16:16:21] [Device 1 CH1] V=6.663V I=4.571A
[2025-06-29 16:16:21] [Device 1 CH2] V=2.280V I=4.417A
[2025-06-29 16:16:21] [Device 1 CH3] V=10.286V I=3.267A
[2025-06-29 16:16:22] [Device 1 CH1] V=16.083V I=1.403A
[2025-06-29 16:16:22] [Device 1 CH2] V=22.491V I=1.239A
[2025-06-29 16:16:22] [Device 1 CH3] V=11.424V I=1.168A
[2025-06-29 16:16:23] [Device 1 CH1] V=2.717V I=4.460A
[2025-06-29 16:16:23] [Device 1 CH2] V=23.500V I=1.539A
[2025-06-29 16:16:23] [Device 1 CH3] V=4.202V I=2.380A
[2025-06-29 16:16:24] [Device 1 CH1] V=10.971V I=3.179A
[2025-06-29 16:16:24] [Device 1 CH2] V=9.677V I=4.488A
[2025-06-29 16:16:24] [Device 1 CH3] V=5.091V I=2.306A
[2025-06-29 16:16:25] [Device 1 CH1] V=29.583V I=2.581A
[2025-06-29 16:16:25] [Device 1 CH2] V=6.295V I=2.235A
[2025-06-29 16:16:25] [Device 1 CH3] V=10.782V I=1.473A
[2025-06-29 16:16:25] [Device 1] Communication Disabled
[2025-06-29 16:16:50] [Device 1 CH1] Output ON
[2025-06-29 16:16:51] [Device 1 CH1] Output OFF
[2025-06-29 16:26:56] [超声电机供电电源] Communication Enabled
[2025-06-29 16:26:56] [Device 2 CH1] V=2.035V I=3.449A
[2025-06-29 16:26:56] [Device 2 CH2] V=15.324V I=2.104A
[2025-06-29 16:26:57] [Device 2 CH3] V=18.244V I=2.566A
[2025-06-29 16:26:58] [Device 2 CH1] V=20.814V I=2.282A
[2025-06-29 16:26:58] [Device 2 CH2] V=10.644V I=4.239A
[2025-06-29 16:26:58] [Device 2 CH3] V=27.647V I=3.456A
[2025-06-29 16:26:58] [Device 2 CH1] V=1.513V I=1.617A
[2025-06-29 16:26:58] [Device 2 CH2] V=10.631V I=4.717A
[2025-06-29 16:26:58] [Device 2 CH3] V=21.108V I=2.937A
[2025-06-29 16:27:00] [Device 2 CH1] V=0.698V I=2.825A
[2025-06-29 16:27:00] [Device 2 CH2] V=18.448V I=2.467A
[2025-06-29 16:27:00] [Device 2 CH3] V=2.820V I=1.096A
[2025-06-29 16:27:00] [超声电机供电电源] Communication Disabled
[2025-06-29 16:27:14] [NV磁传感器供电电源] Communication Enabled
[2025-06-29 16:27:14] [NV磁传感器供电电源] Communication Disabled
[2025-06-29 16:29:17] [Device 2 CH1] Output ON
[2025-06-29 16:29:18] [Device 2 CH1] Output OFF
[2025-06-29 16:29:22] [超声电机供电电源] Communication Enabled
[2025-06-29 16:29:22] [Device 2 CH1] V=22.088V I=4.495A
[2025-06-29 16:29:22] [Device 2 CH2] V=15.563V I=0.308A
[2025-06-29 16:29:22] [Device 2 CH3] V=19.727V I=0.094A
[2025-06-29 16:29:23] [Device 2 CH1] V=7.109V I=2.427A
[2025-06-29 16:29:23] [Device 2 CH2] V=3.299V I=4.652A
[2025-06-29 16:29:23] [Device 2 CH3] V=22.904V I=1.795A
[2025-06-29 16:29:24] [Device 2 CH1] V=24.555V I=3.048A
[2025-06-29 16:29:24] [Device 2 CH2] V=13.894V I=1.953A
[2025-06-29 16:29:24] [Device 2 CH3] V=24.049V I=2.376A
[2025-06-29 16:29:25] [Device 2 CH1] V=28.977V I=4.285A
[2025-06-29 16:29:25] [Device 2 CH2] V=4.549V I=3.917A
[2025-06-29 16:29:25] [Device 2 CH3] V=5.619V I=3.066A
[2025-06-29 16:29:26] [Device 2 CH1] V=27.513V I=2.452A
[2025-06-29 16:29:26] [Device 2 CH2] V=18.172V I=3.571A
[2025-06-29 16:29:26] [Device 2 CH3] V=6.500V I=0.159A
[2025-06-29 16:29:27] [Device 2 CH1] V=18.439V I=3.330A
[2025-06-29 16:29:27] [Device 2 CH2] V=19.708V I=0.977A
[2025-06-29 16:29:27] [Device 2 CH3] V=23.772V I=3.694A
[2025-06-29 16:29:28] [Device 2 CH1] V=7.865V I=0.440A
[2025-06-29 16:29:28] [Device 2 CH2] V=22.363V I=4.401A
[2025-06-29 16:29:28] [Device 2 CH3] V=27.261V I=4.787A
[2025-06-29 16:29:29] [Device 2 CH1] V=13.222V I=2.278A
[2025-06-29 16:29:29] [Device 2 CH2] V=10.098V I=4.427A
[2025-06-29 16:29:29] [Device 2 CH3] V=5.358V I=1.334A
[2025-06-29 16:29:30] [Device 2 CH1] V=26.508V I=3.368A
[2025-06-29 16:29:30] [Device 2 CH2] V=26.186V I=1.175A
[2025-06-29 16:29:30] [Device 2 CH3] V=10.732V I=0.170A
[2025-06-29 16:29:31] [Device 2 CH1] V=25.721V I=2.127A
[2025-06-29 16:29:31] [Device 2 CH2] V=7.867V I=2.788A
[2025-06-29 16:29:31] [Device 2 CH3] V=8.246V I=2.565A
[2025-06-29 16:29:32] [超声电机供电电源] Communication Disabled
[2025-06-29 16:29:33] [超声电机供电电源] Communication Enabled
[2025-06-29 16:29:34] [Device 2 CH1] V=21.449V I=4.665A
[2025-06-29 16:29:34] [Device 2 CH2] V=15.322V I=4.308A
[2025-06-29 16:29:34] [Device 2 CH3] V=23.279V I=4.847A
[2025-06-29 16:29:35] [超声电机供电电源] Communication Disabled
